,Title,Brand,Model,Category,Price,Tax/Vat Status,Year,Overall Lengrh,Beam,Draft,Displacement,Location,Country,Insert Date,Engine,Engine Hours,Fuel,Fuel Capacity,Number of Cabins,Number of Berths,Passenger Capacity,Website,Link,Unique Id
0,1993 Cantieri Di Pisa Akhir 25,Cantieri,Di Pisa Akhir 25,Power Boat,470000,Not Given,1993,Not Given,Not Given,Not Given,Not Given,Italia,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/1993/cantieri-di-pisa-akhir-25-1986130/,1993251986130
1,1997 Sunseeker Predator 80,Sunseeker,Predator 80,Power Boat,350000,Not Given,1997,Not Given,Not Given,Not Given,Not Given,Sardinia,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/1997/sunseeker-predator-80-2550445/,1997802550445
2,1971 Burger 80,Burger,80,Power Boat,450000,Not Given,1971,Not Given,605.0,Not Given,Not Given,Italia,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/1971/burger-80-3463342/,1971803463342
3,1997 Sunseeker Predator 80,Sunseeker,Predator 80,Power Boat,325000,Not Given,1997,Not Given,Not Given,Not Given,Not Given,Sardegna,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/1997/sunseeker-predator-80-2972447/,1997802972447
4,2005 Arno Leopard 24,Arno,Leopard 24,Power Boat,499000,Not Given,2005,Not Given,Not Given,Not Given,Not Given,Italia,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2005/arno-leopard-24-3031881/,2005243031881
5,2000 Sanlorenzo Sl82,Sanlorenzo,Sl82,Power Boat,400000,Not Given,2000,Not Given,Not Given,Not Given,Not Given,Milano,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2000/sanlorenzo-sl82-2881527/,2000822881527
6,1997 Sunseeker Predator 80,Sunseeker,Predator 80,Power Boat,350000,Not Given,1997,Not Given,Not Given,Not Given,Not Given,Sardegna,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/1997/sunseeker-predator-80-3663488/,1997803663488
7,2000 Sanlorenzo 82,Sanlorenzo,82,Power Boat,450000,Not Given,2000,Not Given,Not Given,Not Given,Not Given,Olbia,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/2000/sanlorenzo-82-3706180/,2000823706180
8,1987 Custom Bugari Artemio 24 Navetta,Custom,Bugari Artemio 24 Navetta,Power Boat,495000,Not Given,1987,Not Given,Not Given,Not Given,Not Given,Lazio,Italy,1/1/2000,Not Given,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/1987/custom-bugari-artemio-24-navetta-3723991/,1987243723991
9,1991 Alalunga 78,Alalunga,78,Power Boat,450000,Not Given,1991,23.75,5.2,Not Given,Not Given,0,Italy,1/1/2000,Detroit Die,Not Given,Not Given,Not Given,Not Given,0,Not Given,Yachtworld.com,https://www.yachtworld.es/barcos/1991/alalunga-78-3510258/,1991783510258
